	x	y	z
KP0613_LM_SB20	0.370328201	0.18015658	-1.629200801
KP0614_LM_SB20	-1.042826939	0.212119199	-1.831002749
KP0615_AC_SB20	-0.364079555	-0.404322788	-2.064614451
KP0616_LM_SB20	-1.36226806	0.630276236	-1.672793438
KP0617_LM_SB20	-0.74320446	-0.550779997	-2.179085274
KP0618_LM_SB20	-1.786224688	0.616555313	-0.960512264
KP0619_AC_SB20	-0.946386402	-0.422482906	-2.042671528
KP0620_LM_SB20	-1.891846294	0.822051094	-1.024858614
KP0621_LM_SB20	-1.060348551	-0.155291431	-1.98386582
KP0622_AC_SB20_X	-2.161448291	0.481947626	-0.885993096
KP0623_LM_SB20	-1.581225052	-0.458562429	-2.303095796
KP0624_AC_SB20	-2.000136715	0.920248515	-0.619458347
KP0625_AC_SB20_X	-1.675260198	-0.247462846	-1.470429556
KP0626_AC_SB20	-2.04133296	1.03079719	-0.519262532
KP0627_AC_SB20_X	-2.199451265	0.233132485	-1.051206762
KP0628_AC_SB20	-2.220938518	1.216365763	-0.480905263
KP0629_LM_SB20	-2.648979557	0.495330322	-0.855160781
KP0630_AC_SB20	-2.340483517	0.85149585	-0.61756035
KP0631_LM_SB20	-2.954244224	0.354049409	-1.365905621
KP0632_AC_SB20	-2.16504203	1.056768677	-0.419396278
KP0633_AC_SB20	6.618238913	1.331368222	-0.459101335
KP0634_LM_SB20_X	-3.077661804	1.093373945	-0.755220389
KP0635_AC_SB20	6.444399311	0.877421149	-0.951397694
KP0636_AC_SB20	6.84388909	1.606566607	-0.08938512
KP0637_LM_SB20	5.606276207	0.602783761	-1.271297131
KP0638_AC_SB20	6.552437678	1.863758624	-0.263631304
KP0639_LM_SB20	5.295471102	0.62910401	-1.151036897
KP0640_AC_SB20	6.800376201	2.171661	-0.280883648
KP0641_LM_SB20	5.181648555	0.468921906	-1.378516396
KP0642_AC_SB20	6.276125636	1.863562516	-0.263235391
KP0643_AC_SB20	4.937887448	0.144861036	-1.535964959
KP0644_AC_SB20	6.135639484	1.784163292	-0.495212646
KP0645_AC_SB20_X	3.48209654	0.247394316	-0.986606392
KP0646_AC_SB20	5.920161219	1.522999608	-0.457568074
KP0647_AC_SB20	3.049502693	-0.332949095	-1.35557077
KP0648_AC_SB20	5.765371122	1.623317358	-0.521697077
KP0649_AC_SB20	2.59801755	0.236798377	-1.305748369
KP0650_LM_SB20	4.728856274	1.930652503	-0.200160739
KP0651_AC_SB20	2.469920446	0.014251787	-1.387475572
KP0652_AC_SB20	4.287194553	1.368811792	-0.531122817
KP0654_AC_SB20	4.009263045	1.123781152	-0.597080656
KP0655_LM_SB20	2.320627514	-0.744677253	-2.031201447
KP0656_AC_SB20	4.074427502	1.374732077	-0.511187821
KP0657_LM_SB20	11.2083023	2.107549508	-0.127563791
KP0658_AC_SB20	3.948992171	1.684469316	-0.560258456
KP0659_LM_SB20	11.13613957	1.800932845	-0.197158861
KP0660_AC_SB20	4.23723448	1.791756742	-0.416576205
KP0661_AC_SB20	10.48374916	1.422130718	-0.7115681
KP0662_AC_SB20	3.120058094	1.422401865	0.123918428
KP0663_AC_SB20	10.18480838	1.541151227	-0.345030571
KP0664_LM_SB20	2.962672465	0.810307156	-1.136910112
KP0665_AC_SB20	9.713626917	1.688233428	-0.103796622
KP0666_LM_SB20	2.61418542	0.843688729	-1.047090175
KP0667_AC_SB20_X	9.524625491	1.434638166	-0.232542158
KP0668_AC_SB20	2.187613232	0.913544804	-0.922995636
KP0669_AC_SB20_X	9.443715796	1.510710974	-0.160422521
KP0670_LM_SB20	1.985203548	0.948385922	-1.037496885
KP0671_AC_SB20_X	9.298811808	1.653579667	-0.143679635
KP0672_AC_SB20	2.053692404	0.351335648	-1.034691845
KP0673_AC_SB20_X	9.350703245	1.559120512	-0.248266825
KP0674_AC_SB20	1.876417326	0.430946705	-0.996767545
KP0676_LM_SB20	10.8501167	2.972363309	0.408952122
KP0678_AC_SB20	10.63379183	2.455584459	-0.016415735
KP0679_AC_SB20	14.61337895	3.57986857	1.340353981
KP0680_LM_SB20	9.975530603	2.181656088	-0.193676614
