Individual,Site,Loc,Depth,Taxa,Groups,colony_points,colony_elevation,ground_elevation,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,colony_range,environment_range,x,y,z
KP0052_AC_SB10,SB10,SB,10,AA2,aa.48,3720,34.48862879,54.12394253,1,0.845081259,0.539530567,1.875333132,0.08269655,0.2,7.891295055,-0.078698578,-1.829589647
KP0053_AC_SB10,SB10,SB,10,AA2,aa.48,531,112.2576655,65.7270347,1.840205731,0,0.541424204,1.986681059,0.039859705,0.2,7.801318891,0.143401108,-1.749230149
KP0054_AC_SB10,SB10,SB,10,AA2,aa.48,291,121.2304545,125.6109905,1.795209859,0.03055948,0.534929877,2.506581127,0.033564081,0.2,7.672112659,0.180129288,-1.681040387
KP0056_AC_SB10,SB10,SB,10,AA2,aa.48,178,105.5703187,74.7985523,1.13740366,0.075945291,0.514351304,2.124590941,0.021139549,0.2,7.776635512,0.236341392,-1.85586589
KP0057_AC_SB10,SB10,SB,10,AA2,aa.84,3002,131.558255,100.2285719,1.937830214,0.00623382,0.617017381,1.90995258,0.066567893,0.2,7.820769126,0.391530216,-1.885961671
KP0058_AC_SB10,SB10,SB,10,AA2,aa.42,3938,32.54250787,93.4951982,1.486738352,0.058492491,0.675372926,1.951357225,0.071248696,0.2,6.919787858,-0.105401016,-1.596355717
KP0059_AC_SB10,SB10,SB,10,AA2,aa.42,194,83.51037029,35.12129501,1.745436478,0,0.409959693,2.072823289,0.024808335,0.2,6.880268178,-0.078645459,-1.806397156
KP0061_AC_SB10,SB10,SB,10,AA2,aa.90,6307,119.3206775,18.69391593,2.010858136,0,0.767412685,1.792956075,0.116094444,0.2,6.66762577,0.447869083,-1.576091779
KP0062_AC_SB10,SB10,SB,10,AA2,aa.90,3612,35.97206756,47.25893528,1.528747458,0.031181144,0.597750862,1.996599261,0.073328225,0.2,6.644208287,0.547036809,-1.668809064
KP0064_AC_SB10,SB10,SB,10,AA2,aa.91,3073,37.7419365,27.38664346,1.665375508,0.000526722,0.601653447,2.173836755,0.06355515,0.2,5.7054847,-0.525931557,-1.618226343
KP0065_AC_SB10,SB10,SB,10,AA2,aa.91,864,116.3869216,73.39561103,1.082652479,0,0.593099121,2.07773371,0.039422914,0.2,5.424492105,-0.618744097,-1.728193711
KP0069_AC_SB10,SB10,SB,10,AA2,aa.91,44409,55.07357297,39.54950658,1.357833014,0.008691981,0.606618324,2.28404439,0.214680307,0.2,5.701294708,-0.774647793,-1.808908419
KP0070_AC_SB10,SB10,SB,10,AA2,aa.57,2883,106.0954465,41.4562512,1,0.921539174,0.496354173,1.220939169,0.087469375,0.2,5.437960034,-1.144219032,-2.213606242
KP0073_HU_SB10,SB10,SB,10,AH1,ah.89,181,40.39730205,36.45488643,1.229054887,0,0.546321079,1.835150397,0.020375636,0.2,6.021341138,-1.383909872,-1.567758521
KP0074_AC_SB10,SB10,SB,10,AA2,aa.91,1067,111.2100823,130.2372365,1.346874,0,0.547494734,2.219168107,0.046878399,0.2,5.98246703,-0.734657519,-1.615884193
