X,x,y,z
KP0950_AC_WP05,1.8005588324928,-11.0498838630042,-1.3329829853615
KP0952_HU_WP05,1.38514390149229,-11.5632652872502,-1.26092772321061
KP0954_HU_WP05,1.32896834117074,-11.6268475560087,-1.18899478675234
KP0955_HU_WP05,1.35206728390586,-11.6483942376872,-1.1694756561752
KP0956_HU_WP05,1.35811526728732,-11.7152784802952,-1.13412314849604
KP0957_HU_WP05,1.27955258641501,-11.6448124851074,-1.19869846676408
KP0958_HU_WP05,1.41219583802206,-11.798510684653,-1.15019814139889
KP0959_HU_WP20,1.53899433055507,-12.0070657120428,-1.24968664714324
KP0960_HU_WP05,1.74009382187792,-12.0171887546093,-1.22871677066607
KP0961_HU_WP05,1.33055148640256,-12.3434672265912,-1.39761742049258
KP0962_AC_WP05,1.27023501489288,-12.3436488769052,-1.35199648596025
KP0963_HU_WP05,1.72589618910466,-12.6968160003003,-1.47990350811674
KP0964_HU_WP05,2.02805968656398,-11.4357940865558,-1.26194538447341
KP0965_AC_WP05,2.0860218062542,-11.2183082740075,-1.25743820186313
KP0966_AC_WP05,2.25898679891379,-11.2465529828066,-1.34983879524928
KP0968_HU_WP05,1.69702391713149,-8.76896895392079,-1.50340850614046
KP0969_HU_WP05,0.223819431602996,-6.98975673610185,-1.61476656240483
KP0970_HU_WP05,0.807345914297976,-8.04333580588279,-1.57057573296427
KP0971_HU_WP05,0.653322880946265,-8.04164231484984,-1.52718104633247
KP0972_HU_WP05,0.62217910313346,-8.28533642892856,-1.55812784773794
KP0973_HU_WP05,0.657808797765655,-5.99974301384071,-1.65126925738417
KP0974_AC_WP05,-0.112872564345025,-3.3176939338106,-1.24003883737943
KP0975_AC_WP05,-0.448617462684874,-3.45015486903244,-1.46149955087165
KP0976_AC_WP05,-0.449179430339236,-3.66739372667964,-1.48863441924343
KP0977_AC_WP05,-0.376664824147136,-3.56809679443094,-1.43476956887502
KP0978_AC_WP05,0.923926114665409,-0.551040023295104,-1.51960569024623
KP0979_HU_WP05,-1.68564305779978,5.77430361194856,-1.07828120209271
KP0980_HU_WP05,-0.912561471754469,3.19153788728154,-1.10696958956477
KP0981_AC_WP05,-0.719610465679743,3.18393058792843,-1.19337034069474
KP0982_AC_WP05,-0.45836441506861,3.79297441482483,-1.21268833146562
KP0983_AC_WP05,-1.05697502953856,6.68365618642666,-0.935530063148178
KP0984_HU_WP05,-1.095622542594,6.98133313104136,-0.970390068568265
KP0985_HU_WP05,-1.0983827454744,7.01082535331886,-1.07178235485568
KP0986_HU_WP05,-0.570054060187438,8.84523237261939,-1.03426690621973
KP0987_HU_WP05,-0.359060931500132,9.96539800906582,-0.957071303355914
KP0988_AC_WP05,0.301683947719886,-3.37435510316088,-1.2631527512929
KP0989_AC_WP05,0.864919203879027,-0.923081439744272,-1.45140125800324
KP0739_HU_WP10,1.62837438655165,0.884877955165772,-0.918785835611872
KP0740_HU_WP10,0.730498363907641,1.18710089398061,-1.15797096710083
KP0741_AC_WP10,1.88518111099006,0.451186653687923,-1.1447122427117
KP0742_AC_WP10,0.865312436585526,-0.0566292814035774,-1.48409035933383
KP0743_AC_WP10,1.62706146876499,0.337567707038047,-1.06989703853919
