Individual,Species,Population,Site,Loc,Depth,V1,V2,V3,V4,V5,V6,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,Q.Clust5,Q.Clust6
KP0046_AC_SB10,AC,AC_SB10,SB10,SB,10,10.3715312,-7.652942,0.59001112,-0.025059992,0.296383468,0.328608267,1,0.928022,1e-05,1e-05,0.071938,1e-05,1e-05
KP0049_HU_SB10,HU,HU_SB10,SB10,SB,10,1.1679769,32.147139,0.37345402,4.224594828,-0.317603601,-0.123977567,3,1e-05,1e-05,0.979618,1e-05,1e-05,0.020342
KP0050_AC_SB10,AC,AC_SB10,SB10,SB,10,10.11529,-7.595161,1.51394349,-0.346248763,0.536099231,0.107154384,1,0.945864,1e-05,1e-05,0.054096,1e-05,1e-05
KP0055_AC_SB10,AC,AC_SB10,SB10,SB,10,16.4835034,-10.934216,0.54505375,0.119795473,-0.029599761,-0.184067491,1,0.85827,1e-05,1e-05,0.14169,1e-05,1e-05
KP0057_AC_SB10,AC,AC_SB10,SB10,SB,10,16.5626161,-10.632109,1.28755483,-0.100955022,0.063852622,0.012970179,1,0.955989,1e-05,1e-05,0.043971,1e-05,1e-05
KP0058_AC_SB10,AC,AC_SB10,SB10,SB,10,16.6198322,-10.798525,1.7920189,-0.115505976,0.040336884,0.068640679,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0060_AC_SB10,AC,AC_SB10,SB10,SB,10,9.4581229,-7.155784,0.68625053,-0.145163949,0.403695688,0.165729221,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0061_AC_SB10,AC,AC_SB10,SB10,SB,10,16.5364746,-10.669771,0.48515934,-0.099790188,-0.083934157,0.119707506,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0072_AC_SB10,AC,AC_SB10,SB10,SB,10,16.5636782,-10.523016,0.73636941,-0.057977104,-0.041994574,-0.180265538,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0073_HU_SB10,HU,HU_SB10,SB10,SB,10,0.6634528,28.548858,0.40996466,3.659243962,-0.246939087,-0.196371792,3,1e-05,1e-05,0.791459,1e-05,1e-05,0.208501
KP0074_AC_SB10,AC,AC_SB10,SB10,SB,10,16.4097962,-10.583369,1.08953769,-0.02041952,0.007493587,0.064328702,1,0.916299,1e-05,1e-05,0.083661,1e-05,1e-05
KP0081_AC_SB10,AC,AC_SB10,SB10,SB,10,16.4222979,-10.538149,1.79365539,0.06731678,-0.083954456,-0.211670258,1,0.944359,1e-05,1e-05,0.055592,1e-05,2e-05
KP0084_AC_SB10,AC,AC_SB10,SB10,SB,10,1.1481632,35.100534,-1.08231355,-11.25830203,1.078810454,-1.334843629,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0086_LM_SB10,LM,LM_SB10,SB10,SB,10,-51.5195005,-8.960102,0.21904668,-0.486468776,-4.677179361,-0.092115243,2,1e-05,0.91585,1e-05,1e-05,0.08411,1e-05
KP0089_AC_SB10,AC,AC_SB10,SB10,SB,10,13.6342142,-9.157534,1.02298155,-0.261907392,0.421252285,0.232135219,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0090_AC_SB10,AC,AC_SB10,SB10,SB,10,1.4142006,34.139241,0.33667649,3.812701095,-0.407303724,0.625218241,3,1e-05,1e-05,0.877795,1e-05,1e-05,0.122165
