,X,outcrop_prop,z,environment_rugosity_sqrt,colony_elevation_corr,overhang_prop_2,area_sqrt,Clusters,Individual,colony_points,area,colony_rugosity_sqrt,colony_rugosity,site,environment_rugosity
1,3,0.539804679330641,-1.82958964668798,1.56571417129468,61.9554084473218,0.832445044544538,0.126571070806097,AA2,KP0052_AC_SB10,3323,0.0160202359650021,1.08547540195273,1.17825684824444,SB10,2.45146086619299
2,4,0.556741071506086,-1.74923014871352,1.50116394748593,62.9579760166927,0,0.0615414188170139,AA2,KP0053_AC_SB10,475,0.00378734623001112,1.36976101428577,1.87624523625717,SB10,2.25349319723155
3,5,0.62957570559056,-1.68104038728439,1.43917832647789,59.0148623588466,0.0329042936279213,0.04216225888219,AA2,KP0054_AC_SB10,259,0.00177765607404881,1.41989924992671,2.01611387994243,SB10,2.07123425540371
4,7,0.511586180495721,-1.85586588987349,1.45962711888565,76.2366602506637,0.0858302712859701,0.0353533901059636,AA2,KP0056_AC_SB10,179,0.00124986219198445,1.08947309834732,1.18695163202251,SB10,2.13051132618643
5,8,0.465354019234736,-1.88596167112688,1.42747121878146,56.4685975811402,0.00396799000225506,0.134499124219269,AA2,KP0057_AC_SB10,2790,0.0180900144157505,1.46868468908126,2.15703471594171,SB10,2.03767408044942
6,9,0.523242682296417,-1.59635571703668,1.50124904855295,28.7279653841689,0.042436056026413,0.127231512898589,AA2,KP0058_AC_SB10,3560,0.0161878578744639,1.18178366507064,1.39661263102779,SB10,2.25374870578113
7,10,0.405227609485278,-1.80639715639795,1.42089170018031,78.7005942342421,0.0059734476703624,0.04105810668814,AA2,KP0059_AC_SB10,195,0.00168576812481469,1.40389376862277,1.97091771357784,SB10,2.0189332236413
8,12,0.664029307614481,-1.57609177884882,1.42247657899773,65.8756330044527,0,0.209731450988785,AA2,KP0061_AC_SB10,5657,0.0439872815338611,1.46020517031721,2.13219913942111,SB10,2.02343961779708
9,13,0.577539620495924,-1.66880906366824,1.41908979887087,37.6936893430469,0.026302929746781,0.159798640695643,AA2,KP0062_AC_SB10,3337,0.0255356055681753,1.35422303076139,1.83392001704457,SB10,2.01381585725936
10,15,0.56289947565331,-1.61822634296779,1.50727703057904,35.5750219648479,0.00606137263680401,0.124056376881984,AA2,KP0064_AC_SB10,2784,0.0153899846450849,1.25821257218859,1.58309887681342,SB10,2.27188404691115
11,16,0.652731289738173,-1.72819371129057,1.56150995992234,56.7715732922272,0,0.0756634121152086,AA2,KP0065_AC_SB10,759,0.0057249519329159,1.19333826481797,1.42405621427877,SB10,2.43831335493667
12,17,0.592523237354039,-1.80890841922968,1.55458058683674,57.086481657234,0.0086338431354409,0.443876382022687,AA2,KP0069_AC_SB10,40252,0.197026242517551,1.22935944158362,1.5113246366108,SB10,2.41672080096967
13,18,0.539870108004503,-2.2136062421693,1.51855449628569,72.8945730094542,0.897910001466128,0.133240773268528,AA2,KP0070_AC_SB10,2612,0.0177531036611954,1,1,SB10,2.30600775818949
14,19,0.523186064831443,-1.87432419226699,1.49093303850186,29.8836070455347,0.0784470866137128,0.0647211865840077,AA2,KP0072_AC_SB10,1306,0.00418883199284194,1.19336727794261,1.42412546006415,SB10,2.22288132529639
15,619,0.560979164714075,-1.56775852139452,1.43796751126734,38.9366838912543,0,0.0338682464091158,AH1,KP0073_HU_SB10,161,0.00114705811482858,1.08326937495911,1.1734725387243,SB10,2.06775056346038
16,20,0.453068036973718,-1.6158841926359,1.55668905588432,61.5010536200124,0,0.0717297995666364,AA2,KP0074_AC_SB10,1022,0.00514516414586982,1.27912121012788,1.63615107019902,SB10,2.42328081671001
17,21,0.398182677403197,-1.62270798388223,1.52276734553194,63.6573528671884,0.297770478207871,0.0419554226822969,AA2,KP0077_AC_SB10,541,0.0017602574924502,1,1,SB10,2.31882038861839
18,22,0.490174119963284,-1.49665520581264,1.53838126253738,47.3614189046729,0.764702293878655,0.0568814330144258,AA2,KP0078_AC_SB10,584,0.00323549742177461,1.25045443916773,1.56363630443429,SB10,2.3666169089261
19,621,0.429232542726878,-1.57722407142126,1.49303643382113,24.0723940353081,0.554787438928127,0.0427598259112013,AH2,KP0084_AC_SB10,384,0.00182840271195624,1.10580985560764,1.222815436759,SB10,2.2291577927173
20,513,0.44751717301079,-1.621271259155,1.57819170017974,40.2437307947275,1,0.190868520446915,AL2,KP0086_LM_SB10,4794,0.0364307920975946,1.23496379919397,1.52513558531959,SB10,2.49068904251622
21,25,0.467446273746177,-1.52189955611648,1.52097385456402,83.8596484057675,0.040848103926985,0.177315406804948,AA2,KP0088_AC_SB10,5483,0.0314407534904041,1.3523177095025,1.82876318743409,SB10,2.31336146626732
22,26,0.479475613674689,-1.40775531800009,1.48208042336906,3.06644576723615,0.723340165779831,0.106560263273995,AA2,KP0089_AC_SB10,5868,0.0113550897090231,1.10926333332753,1.23046514266491,SB10,2.19656238133382
23,622,0.584287609941078,-1.48827496458285,1.53477059332202,3.56394900502435,0,0.0491195631628122,AH1,KP0090_AC_SB10,354,0.0024127314853055,1.27304729422014,1.62064941332122,SB10,2.35552077412603
24,27,0.467589513189017,-1.53615657625314,1.58346140137917,37.2758874725553,0.564186411494713,0.0520197080249976,AA2,KP0095_AC_SB10,378,0.002706050023006,1.09982982565033,1.20962564539004,SB10,2.50735000965767
25,626,0.527049393310335,-1.38797947165097,1.52615870136903,36.6779968495188,0.247548481376128,0.0668979357020441,AH1,KP0098_AC_SB10,635,0.00447533380119482,1.12008728628328,1.25459552889343,SB10,2.32916038176441
26,627,0.398873441222072,-1.7726392192499,1.4416029132972,66.8929526923054,0.655525652600983,0.020216235632765,AH1,KP0099_AC_SB10,161,0.000408696183159477,1,1,SB10,2.07821895962697
27,28,0.648244825793487,-1.88913004889387,1.4999226881803,89.9078294518996,0,0.0573892919610458,AA2,KP0100_AC_SB10,630,0.00329353083179015,1.32971443593243,1.7681404811271,SB10,2.24976807051802
28,29,0.811689154388046,-1.44799520722494,1.37338784987701,81.5290018622406,0,0.136848668642117,AA2,KP0101_AC_SB10,3022,0.01872755810912,1.37290582597283,1.88487040699013,SB10,1.88619418618979
29,30,0.718613368917251,-1.64734122505474,1.45808159763436,65.6730587516997,0,0.214615943471755,AA2,KP0102_AC_SB10,15036,0.0460600031922714,1.32903575025614,1.76633602545891,SB10,2.12600194535995
30,31,0.643341792493693,-1.79512422972102,1.54835839352223,80.7203099627396,0.414069533665469,0.0814282262874929,AA2,KP0103_AC_SB10,1325,0.00663055603632714,1.2107278861644,1.46586201433613,SB10,2.39741371479073
31,32,0.783866115936178,-1.62205251086137,1.50923834340324,65.0050581683842,0,0.103347419482032,AA2,KP0104_AC_SB10,1774,0.010680689113595,1.5325731434746,2.34878044009961,SB10,2.27780037719856
32,33,0.736011111127654,-1.65566793209853,1.49313410182193,71.6364441714671,0.0179673224069247,0.0559758017936046,AA2,KP0105_AC_SB10,950,0.00313329038643691,1.02475719669049,1.05012731216896,SB10,2.22944944602357
