Individual,Site,Loc,Depth,Taxa,Groups,colony_points,ground_elevation,overhang_prop,outcrop_prop,environment_rugosity,colony_radius,environment_radius,x,y,z
KP0052_AC_SB10,SB10,SB,10,AA2,aa.aa.48,3322,66.73548997,0.024650464,0.514534722,2.464029338,0.08269655,0.1,0.0786982330751377,7.89129505892264,-1.82958964668798
KP0053_AC_SB10,SB10,SB,10,AA2,aa.aa.48,474,92.95332252,0,0.559153323,2.161755305,0.039859705,0.1,-0.143401449325699,7.80131888515905,-1.74923014871352
KP0054_AC_SB10,SB10,SB,10,AA2,aa.aa.48,258,49.19085818,0.032330547,0.484714478,1.969324231,0.033564081,0.1,-0.180129623584231,7.67211265108571,-1.68104038728439
KP0056_AC_SB10,SB10,SB,10,AA2,aa.aa.48,178,72.63416002,0.067516264,0.565087919,2.042426709,0.021139549,0.1,-0.23634173236735,7.77663550188223,-1.85586588987349
KP0057_AC_SB10,SB10,SB,10,AA2,aa.aa.84,2789,99.65905439,0.004517481,0.490299922,1.988207443,0.066567893,0.1,-0.391530557919803,7.82076910895432,-1.88596167112688
KP0058_AC_SB10,SB10,SB,10,AA2,aa.aa.42,3559,96.77251753,0.042352437,0.585617837,2.335885513,0.071248696,0.1,0.105400713681096,6.91978786239197,-1.59635571703668
KP0059_AC_SB10,SB10,SB,10,AA2,aa.aa.42,194,25.30879314,0,0.52808008,1.729844682,0.024808335,0.1,0.0786451580312489,6.88026818145194,-1.80639715639795
KP0061_AC_SB10,SB10,SB,10,AA2,aa.aa.90,5656,59.99263387,0,0.694316797,2.162699973,0.116094444,0.1,-0.447869374853038,6.66762575000404,-1.57609177884882
KP0062_AC_SB10,SB10,SB,10,AA2,aa.aa.90,3336,38.73216599,0.026355836,0.54284516,2.323978548,0.073328225,0.1,-0.5470370995263,6.64420826331243,-1.66880906366824
KP0064_AC_SB10,SB10,SB,10,AA2,aa.aa.91,2783,39.99851575,0.006362724,0.523535195,2.13184936,0.06355515,0.1,0.525931307563687,5.70548472249252,-1.61822634296779
KP0065_AC_SB10,SB10,SB,10,AA2,aa.aa.91,758,79.93542284,0,0.672958429,1.831786209,0.039422914,0.1,0.618743860051322,5.424492132487,-1.72819371129057
KP0069_AC_SB10,SB10,SB,10,AA2,aa.aa.91,40251,129.2556379,0.010507161,0.526035336,2.289461575,0.214680307,0.1,0.774647543974711,5.70129474174327,-1.80890841922968
KP0070_AC_SB10,SB10,SB,10,AA2,aa.aa.57,2611,103.2992332,0.801518886,0.352384536,1.66155053,0.087469375,0.1,1.14421879417715,5.43796008394354,-2.2136062421693
KP0072_AC_SB10,SB10,SB,10,AA2,aa.aa.57,1305,34.05565138,0.077773522,0.470830794,1.834969161,0.038694466,0.1,1.27587156924763,5.68038294455374,-1.87432419226699
KP0073_HU_SB10,SB10,SB,10,AH1,ah.89,160,42.53015593,0,0.552716885,1.807756658,0.020375636,0.1,1.38390960918955,6.02134119811652,-1.56775852139452
KP0074_AC_SB10,SB10,SB,10,AA2,aa.aa.91,1021,59.08798828,0,0.583050538,1.619879837,0.046878399,0.1,0.734657257763811,5.98246706220189,-1.6158841926359
KP0077_AC_SB10,SB10,SB,10,AA2,aa.aa.91,540,92.48235159,0.160809942,0.436817622,1.781055432,0.04150118,0.1,0.651873966071922,6.10961396095052,-1.62270798388223
KP0078_AC_SB10,SB10,SB,10,AA2,aa.aa.41,583,33.9320351,0.803395139,0.487073245,1.964451182,0.02975105,0.1,0.960909934678501,6.27795419122283,-1.49665520581264
KP0084_AC_SB10,SB10,SB,10,AH2,ah.27,383,24.6273695,0.562208502,0.370087844,2.121097707,0.030651662,0.1,0.678284132339256,6.94420164811861,-1.57722407142126
KP0086_LM_SB10,SB10,SB,10,AL2,al.59,4793,36.26206561,0.131003647,0.503602683,1.615623579,0.095980105,0.1,0.457108604897011,6.70268361437652,-1.621271259155
