plot_name	sample_name	colony_points	mean_colony	low_colony	high_colony	mean_env	low_env	high_env	outcrop_prop
cur_kal_20m_20200214	KP0287_LM_WP20	8402	-1.694862843718219	-1.7866977698267503	-1.5774050207999943	-1.6049381889129348	-2.1067456248769023	-1.0870483083253968	0.4039265127730469
cur_kal_20m_20200214	KP0288_LM_WP20	17958	-1.7901521989688622	-1.9330004213905014	-1.6663817172693784	-1.7651433709593483	-2.27310870271386	-1.2175593051638627	0.45754040963499487
cur_kal_20m_20200214	KP0289_AC_WP20	3128	-1.730981143234409	-1.7789746046641208	-1.691450929612457	-1.7466730816777134	-2.133616768867823	-1.2273370743745537	0.4442730297058468
cur_kal_20m_20200214	KP0290_LM_WP20	4281	-1.781453515566979	-1.860074407318125	-1.7365078987646652	-1.8090307008217348	-2.093621995214926	-1.4587340497682288	0.4916906705927614
cur_kal_20m_20200214	KP0291_AC_WP20	537	-1.748777549704858	-1.7664207336166047	-1.7121351132066032	-1.7924213513160845	-2.056923642744039	-1.383285784143337	0.45743583010502115
cur_kal_20m_20200214	KP0292_AC_WP20	1010	-1.416865682776173	-1.4529317726271453	-1.3841043857217237	-1.612372874798133	-1.8466683900729535	-1.2840458173603229	0.7639272367344383
cur_kal_20m_20200214	KP0293_LM_WP20	25133	-2.0172553815147416	-2.177014649914068	-1.8519075023934564	-2.047961513044545	-2.337014803158346	-1.6422990855396014	0.4602737688728762
cur_kal_20m_20200214	KP0294_AC_WP20	1848	-1.8609465426947054	-1.9335911352918114	-1.798346891354624	-1.8795058070160031	-2.2223180849204565	-1.4729745720055654	0.4822508449029503
cur_kal_20m_20200214	KP0295_AC_WP20	12045	-1.6302523229270327	-1.719976929315784	-1.5070860551989882	-1.8135433252425965	-2.1290050885254077	-1.3637481113323955	0.6517454665069721
cur_kal_20m_20200214	KP0296_AC_WP20	429	-1.5049415284116854	-1.518933053001137	-1.4929984664181597	-1.6886547382470989	-1.8983276806745768	-1.138843846228813	0.5179651421415262
cur_kal_20m_20200214	KP0297_AC_WP20	405	-1.5244044121129319	-1.542624331364082	-1.5055115851566168	-1.7056987988239054	-1.9378039794363235	-1.1137129418069953	0.5016430812214907
cur_kal_20m_20200214	KP0298_AC_WP20	1031	-1.7761222251439355	-1.7912973960545666	-1.758465161385243	-1.7947377975625785	-2.0560833790895776	-1.29875104306313	0.36966750345632315
cur_kal_20m_20200214	KP0299_AC_WP20	905	-1.5514999779425558	-1.5755020405781255	-1.5246425365903438	-1.7229985924302138	-1.9653484384926863	-1.1254273714971548	0.492723038880905
cur_kal_20m_20200214	KP0300_AC_WP20	1254	-1.5863030277740426	-1.6077915218852357	-1.5699688720016587	-1.7596209714177418	-2.030114690896694	-1.1884624175907643	0.5273100034286149
cur_kal_20m_20200214	KP0301_AC_WP20	408	-1.699227610012145	-1.7163972989504106	-1.6836126881231022	-1.8029660641012948	-2.0252677895360334	-1.2749496590433034	0.4345359205298417
cur_kal_20m_20200214	KP0302_AC_WP20	374	-1.849884181997493	-1.8606871334342054	-1.8395404499384742	-1.8502955087666622	-2.054598329045631	-1.4499793498814868	0.3385837264505744
cur_kal_20m_20200214	KP0303_AC_WP20	1887	-1.698354353283465	-1.7384676107962458	-1.6702046872341638	-1.824568744671107	-2.054598329045631	-1.277718950375491	0.458557641692052
cur_kal_20m_20200214	KP0304_AC_WP20	10534	-1.6935476008605115	-1.7678232053808234	-1.6330665561661515	-1.8279216461146537	-2.054598329045631	-1.1719172821284491	0.40903872292954696
cur_kal_20m_20200214	KP0305_AC_WP20	3807	-0.45844314132051045	-0.5093693564974558	-0.4151898228523704	-0.6242693231380058	-0.8883627051636295	-0.3780190924410546	0.8424119615205712
cur_kal_20m_20200214	KP0306_LM_WP20	2937	-1.6543750488906543	-1.7088171831113623	-1.6005880534083299	-1.7466539308127695	-2.0519412102550945	-1.1697826901087596	0.4506742861798702
cur_kal_20m_20200214	KP0309_AC_WP20	2042	-1.5719257287603254	-1.631021284395564	-1.5204415073566928	-1.6961023720919814	-2.0293409648172567	-1.3123259668431189	0.6379437492232622
cur_kal_20m_20200214	KP0310_AC_WP20	10787	-1.3870376588341977	-1.4659677598643113	-1.3129881527264577	-1.5570990550071693	-1.8752798908178223	-1.288917484706552	0.8326629178388596
cur_kal_20m_20200214	KP0311_AC_WP20	504	-1.4032723938189708	-1.4219781480842053	-1.3892807179913107	-1.510036338449626	-1.8239331951902826	-1.2602824013187854	0.7463145726841915
cur_kal_20m_20200214	KP0312_AC_WP20	359	-1.4041494707833027	-1.4244618153069495	-1.386777409128995	-1.5169004644855042	-1.8114630465399415	-1.288917484706552	0.779479543042236
cur_kal_20m_20200214	KP0313_AC_WP20	1515	-1.418920344010728	-1.4559211272801593	-1.393904591657323	-1.511971736608727	-1.8575958418299612	-1.288917484706552	0.7713947477062785
cur_kal_20m_20200214	KP0315_AC_WP20	1467	-1.8555447469224395	-1.8873925310357351	-1.837820444984347	-2.017386623736737	-2.2890423445928776	-1.5854639710405956	0.6161326356319924
cur_kal_20m_20200214	KP0316_AC_WP20	111	-1.9131710365921195	-1.9183000588892556	-1.909438328365402	-2.0280122228634516	-2.3020532688723327	-1.6136317920221557	0.5648897446656022
cur_kal_20m_20200214	KP0317_AC_WP20	269	-1.9683831683144564	-1.9759483478287285	-1.963083947814923	-2.033386487126405	-2.3298258381437575	-1.6015493285706919	0.4962986792491606
cur_kal_20m_20200214	KP0318_LM_WP20	661	-2.1118536012041003	-2.1406469242705706	-2.08499693269017	-2.0826844598567185	-2.318067827880853	-1.8191666879867117	0.4133368521076299
cur_kal_20m_20200214	KP0319_LM_WP20	3417	-2.143083592799511	-2.1964467896676125	-2.083123003251081	-2.0375212226482287	-2.2712481175560972	-1.6869018666408346	0.21932976305716312
cur_kal_20m_20200214	KP0320_LM_WP20	7582	-2.170027245211265	-2.2157749083030067	-2.088273751726218	-2.0085150773111757	-2.2835563149443714	-1.6352594380957175	0.1751189521149116
cur_kal_20m_20200214	KP0321_LM_WP20	938	-1.787009037889862	-1.8299368185439686	-1.7484312680021432	-1.832595301094136	-2.193920065421583	-1.4371301096615414	0.5376802697163994
cur_kal_20m_20200214	KP0322_LM_WP20	40636	-1.9333431762556934	-2.1735701193869885	-1.7037168149653668	-1.8780203067068497	-2.3960062833881963	-1.229771758328337	0.39671532371137425
cur_kal_20m_20200214	KP0323_AC_WP20	51	-0.37771196648596955	-0.3822294156058713	-0.3745059327300714	-0.5263896283625766	-0.7873352670990416	-0.30090285476348905	0.8420970523866
cur_kal_20m_20200214	KP0324_AC_WP20	4196	-0.3648547762834869	-0.41639812243870095	-0.31957265086704195	-0.5195461358611038	-0.8197340460882869	-0.2218990762077674	0.760877654740923
cur_kal_20m_20200214	KP0325_AC_WP20	1526	-0.3867510651925662	-0.42325892651982927	-0.35343938322025686	-0.46254334559428356	-0.7296194715066755	-0.18204813360462072	0.6261620771236183
cur_kal_20m_20200214	KP0326_AC_WP20	2733	-0.2839270334294758	-0.3195931482512471	-0.2581083241011235	-0.44017931338299515	-0.7253258771470651	-0.10910418083033323	0.7162987709714048
cur_kal_20m_20200214	KP0327_AC_WP20	4668	-0.5140410418979579	-0.5799085922521167	-0.43183569442739195	-0.5630352080377832	-0.9661942516974935	-0.18709950553910557	0.5803571542858461
