plot_name	sample_name	colony_points	mean_colony	low_colony	high_colony	mean_env	low_env	high_env	outcrop_prop
cur_kal_05m_20200214	KP0950_AC_WP05	10676	-1.3617035847963856	-1.4123350478272796	-1.3014915910835816	-1.3881317829241047	-1.6607869473295276	-1.0888892616981538	0.5229665551154566
cur_kal_05m_20200214	KP0952_HU_WP05	57	-1.2618985534341736	-1.269646454873019	-1.2550392635392253	-1.2707090844813769	-1.63302263648643	-0.9194912858947906	0.5201230229681305
cur_kal_05m_20200214	KP0954_HU_WP05	15	-1.1888295968276816	-1.1927746309202982	-1.1858515586689584	-1.2155348025272754	-1.5820655419652108	-0.9009881915351146	0.5773733994959648
cur_kal_05m_20200214	KP0955_HU_WP05	39	-1.1712828353943396	-1.1753902857384277	-1.1677907180028146	-1.1920972341346625	-1.5638312782440218	-0.9009881915351146	0.5922192608189227
cur_kal_05m_20200214	KP0956_HU_WP05	84	-1.1361607913017127	-1.1417279824676105	-1.133183996760639	-1.1560576352815461	-1.5321230617317965	-0.9009881915351146	0.6273813872884083
cur_kal_05m_20200214	KP0957_HU_WP05	5	-1.19889471362782	-1.1992451351345306	-1.19874204568997	-1.223884043523572	-1.5944116117182576	-0.9046328388459128	0.5733967376865549
cur_kal_05m_20200214	KP0958_HU_WP05	45	-1.151781972287009	-1.1572223520876723	-1.1473692666014907	-1.140333663698229	-1.5147435757671852	-0.9009881915351146	0.5913782800199999
cur_kal_05m_20200214	KP0962_AC_WP05	5204	-1.3995429366511043	-1.4521468147127896	-1.3576809415267126	-1.405321634366676	-1.8351135853681124	-0.989439476574171	0.5150573302264124
cur_kal_05m_20200214	KP0963_HU_WP05	194	-1.4823491115744096	-1.4965389225694317	-1.4706997501227677	-1.516229801064511	-1.8113883393365582	-1.0772113231525235	0.4481742420545469
cur_kal_05m_20200214	KP0965_AC_WP05	75	-1.2540546267907975	-1.266611365330733	-1.2448427258690784	-1.333806255029551	-1.5580482626289913	-0.9150282085077924	0.47275918362088276
cur_kal_05m_20200214	KP0966_AC_WP05	1806	-1.3607531700286646	-1.3954157988436648	-1.3237700449439669	-1.3147935944145241	-1.63689280591534	-0.9574567019137202	0.4064247311267656
cur_kal_05m_20200214	KP0968_HU_WP05	8	-1.5042352984823952	-1.506687257428347	-1.5023697094647297	-1.5234132813989767	-1.7496257546346772	-1.178716325282859	0.4298237925950635
cur_kal_05m_20200214	KP0969_HU_WP05	12	-1.6161445912275918	-1.6190536054273879	-1.6137509721698415	-1.6502524755968857	-1.8713127531601426	-1.4795548319391896	0.6513414231352196
cur_kal_05m_20200214	KP0970_HU_WP05	104	-1.5720931676439218	-1.578540788678466	-1.5664056128690729	-1.5593034568107054	-1.7807059957218652	-1.2593618377103368	0.4001441751522041
cur_kal_05m_20200214	KP0971_HU_WP05	160	-1.5322448699793032	-1.5388907619968695	-1.5261027734020167	-1.5542260895832303	-1.7807059957218652	-1.185455844967882	0.41740623740765914
cur_kal_05m_20200214	KP0972_HU_WP05	151	-1.5614890080283068	-1.57572784882165	-1.5522835428909592	-1.5788586444955324	-1.8063230034324986	-1.1792057936741582	0.39041185857192245
cur_kal_05m_20200214	KP0973_HU_WP05	223	-1.6566543708582755	-1.6681385511862983	-1.6507061743709066	-1.6799377586730728	-1.8476236265980934	-1.4527446185028299	0.48361460554962465
cur_kal_05m_20200214	KP0974_AC_WP05	3842	-1.260373827151234	-1.3258275186644009	-1.2162062072008526	-1.3880571647606117	-1.7153798698643221	-1.1848067997402512	0.8575747023999694
cur_kal_05m_20200214	KP0975_AC_WP05	503	-1.4682132623304587	-1.4851884014687131	-1.4522523364125548	-1.5292450602550198	-1.788444635729956	-1.220299218183327	0.5636433270593354
cur_kal_05m_20200214	KP0976_AC_WP05	43	-1.4888567997179325	-1.4947736257858497	-1.483447068959486	-1.584658852987826	-1.8305691446058097	-1.3294449433040905	0.6818915230999538
cur_kal_05m_20200214	KP0977_AC_WP05	139	-1.4400471549381053	-1.4498535403579118	-1.4283573314298847	-1.5282458504405527	-1.7945068899030985	-1.220299218183327	0.6173023322787977
cur_kal_05m_20200214	KP0978_AC_WP05	5474	-1.5251325295075866	-1.585598498412605	-1.4827822450696257	-1.530573681050695	-1.6680543545279742	-1.3315412380509213	0.42471397999766697
cur_kal_05m_20200214	KP0979_HU_WP05	100	-1.0798028884323996	-1.0886748230893915	-1.0719334680734802	-1.1535505273237854	-1.3228100291585172	-0.8189394553003752	0.4822808739661249
cur_kal_05m_20200214	KP0980_HU_WP05	57	-1.1071210573487043	-1.1136584161999874	-1.1007150453862602	-1.1929164930358676	-1.4587618373613866	-1.0090318451401776	0.7818931049626786
cur_kal_05m_20200214	KP0981_AC_WP05	3954	-1.1855478110103541	-1.2181974961172972	-1.1354122897383463	-1.2857744187544702	-1.5803294580360407	-0.9762011017249529	0.6534731285190644
cur_kal_05m_20200214	KP0982_AC_WP05	11621	-1.2087805070783726	-1.279723075544271	-1.1534616354588392	-1.2845238786804292	-1.4512773725136894	-0.9722503131288195	0.5062279065126567
cur_kal_05m_20200214	KP0983_AC_WP05	1319	-0.9464020640816774	-0.9941636525153698	-0.9121650787975357	-1.0161449990110067	-1.3469513163103348	-0.6577100096914977	0.5811451640842652
cur_kal_05m_20200214	KP0984_HU_WP05	171	-0.9696370170415929	-0.9784201564498802	-0.9619772991659082	-0.9772524936035809	-1.32548904093758	-0.6577100096914977	0.5328888857620517
cur_kal_05m_20200214	KP0986_HU_WP05	106	-1.0353193749897638	-1.04881803169555	-1.0261432128033035	-1.1031889770769665	-1.3813586233558728	-0.953435231292996	0.8086476569975961
cur_kal_05m_20200214	KP0987_HU_WP05	52	-0.9581150007716306	-0.9645401486622434	-0.9522675955218125	-0.9775191364114358	-1.1276440502416571	-0.7411119101404776	0.43858978822731337
cur_kal_05m_20200214	KP0988_AC_WP05	61	-1.2613693919697042	-1.26835269992816	-1.256545300675152	-1.3243252088022723	-1.6253974597525132	-1.1673429112943328	0.7947264556331419
cur_cas_05m_20201212	KP0407_AC_CA05	22310	-0.028183939447658974	-0.1286106980001368	0.0684748980697185	-0.12707693510098753	-0.37733527432145736	0.30462948951969265	0.5119785557646879
cur_cas_05m_20201212	KP0408_AC_CA05	17998	-0.6517578984929365	-0.769553270305912	-0.5869829651378972	-0.76488460441145	-0.9145068817457007	-0.4210872750746754	0.5325061665576359
cur_cas_05m_20201212	KP0409_AC_CA05	768	-0.5486254171740993	-0.5691140804388944	-0.5247448600144308	-0.6382291327375824	-0.906241559138109	-0.13487701497517457	0.4636149595806038
cur_cas_05m_20201212	KP0410_HU_CA05	5	-0.6268779931992542	-0.6285999764573319	-0.6261316408635341	-0.7276093239714045	-0.922438254671154	-0.4886484301307494	0.6813443855789899
cur_cas_05m_20201212	KP0413_HU_CA05	616	-0.5703285987001324	-0.5987230998965728	-0.5508686830992842	-0.6002466359561407	-0.9200372680125753	-0.22647098274967228	0.5042180924060956
cur_cas_05m_20201212	KP0414_HU_CA05	109	-0.6044142962544596	-0.6155612033124457	-0.5935301243859329	-0.5812318753898241	-0.9200372680125753	-0.23491357233028182	0.460680273864702
cur_cas_05m_20201212	KP0415_HU_CA05	219	-0.4368709454000434	-0.4511638338602654	-0.4281664240463344	-0.5110205323929269	-0.8524582450313983	-0.20723078664807676	0.6440942558034468
cur_cas_05m_20201212	KP0417_HU_CA05	74	-0.524343435804478	-0.5293806797753513	-0.5216835876685489	-0.6329339330354183	-0.9211690361641415	-0.2509770047968898	0.5921073092291231
cur_cas_05m_20201212	KP0418_HU_CA05	122	-0.5792618657779701	-0.588829569717142	-0.5736617642036678	-0.6707607031428366	-0.9672681399029813	-0.27505661412186183	0.5605313689152593
cur_cas_05m_20201212	KP0419_HU_CA05	124	-0.8093461499788679	-0.8228036499576773	-0.801435627362707	-0.8821284470365846	-1.1784775888623675	-0.5356820332121434	0.5742594758765908
cur_cas_05m_20201212	KP0424_AC_CA05	1184	-0.725655266394572	-0.7547535571643906	-0.7003239840571216	-0.8983732264411155	-1.0456499525028693	-0.6990923837096761	0.9233521784637542
cur_cas_05m_20201212	KP0426_HU_CA05	304	-0.7775306687817402	-0.8027532701410637	-0.7681722368778658	-0.9069527288135477	-1.1885842831112012	-0.47230898751431216	0.5738765763056514
