,x,y,z
KP0613_LM_SB20,1.280890575262267,-2.632987115656219,-11.583413350217306
KP0614_LM_SB20,1.5081412225259454,7.414368676414317,-13.018199892110967
KP0615_AC_SB20,-2.874684197001082,2.5885600986293085,-14.67914979064153
KP0616_LM_SB20,4.481185411132302,9.685554849224593,-11.893351531484642
KP0617_LM_SB20,-3.915976465834188,5.284090666041965,-15.493022981886956
KP0618_LM_SB20,4.38363149526681,12.699833301635106,-6.829121722379018
KP0619_AC_SB20,-3.003800178465312,6.728688745502202,-14.523138363263547
KP0620_LM_SB20,5.844680757179886,13.450789608913379,-7.2866161986536255
KP0621_LM_SB20,-1.1041022682535484,7.538945249935611,-14.105037149853555
KP0623_LM_SB20,-3.260320866646656,11.242311933577092,-16.374722241149502
KP0624_AC_SB20,6.542852141704078,14.220720886182097,-4.404271152593926
KP0626_AC_SB20,7.328839366132742,14.51362099230239,-3.6918914714970326
KP0628_AC_SB20,8.648208702342746,15.790593925081685,-3.4191761015019058
KP0629_LM_SB20,3.5217372827163134,18.833912248515503,-6.080085894206468
KP0630_AC_SB20,6.054029422170554,16.64054398401814,-4.390776632139308
KP0631_LM_SB20,2.5172478099200584,21.004305780787174,-9.711417644041923
KP0632_AC_SB20,7.513493417878738,15.393176951202546,-2.981854929899658
KP0633_AC_SB20,9.46585901208183,-47.05484898930423,-3.264152905827581
KP0635_AC_SB20,6.238352317353884,-45.818871079237006,-6.764318274949952
KP0636_AC_SB20,11.422484945917699,-48.65919352502938,-0.6355169918392001
KP0637_LM_SB20,4.285715190848828,-39.859920850434925,-9.038763148105636
KP0638_AC_SB20,13.251088017187413,-46.587010626448055,-1.8743855028328795
KP0639_LM_SB20,4.472848956158286,-37.65013554143209,-8.183727966196264
KP0640_AC_SB20,15.440235215716426,-48.34982252194289,-1.9970475055657841
KP0641_LM_SB20,3.333974329621336,-36.8408714610297,-9.801078673380793
KP0642_AC_SB20,13.249693798136132,-44.62246666276929,-1.8715706118954047
KP0643_AC_SB20,1.0299422651050316,-35.107760458864604,-10.920518208854087
