X,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0950_AC_WP05,82.2273587336485,16.4280536346708,1.80300378,NA,0.626330575788505,1.7381881759451,0.112416371055726
KP0952_HU_WP05,37.8091969662016,80.2378669288091,1.75726703,NA,0.492126375540571,2.019881134167,0.0114435466673173
KP0954_HU_WP05,18.8727403942017,33.0040438771103,1.87329845,NA,0.582410653854435,1.48240905588241,0.00555796353610129
KP0955_HU_WP05,38.2788465651146,64.0264864536087,1.39199675,NA,0.568567647316138,1.49227840813143,0.00770963349141822
KP0956_HU_WP05,74.2960071428542,1.48477515952493,1.37919633,NA,0.812085431807449,1.37003134476778,0.0122399970246224
KP0957_HU_WP05,26.7996092172665,11.9116523222817,1.97635224,NA,0.55412131167214,1.88535050850503,0.00432825980901523
KP0958_HU_WP05,65.7284802881986,24.4287432213362,1.24070642,NA,0.510263116861022,1.19254783323251,0.0107685046284629
KP0962_AC_WP05,50.4096452269587,74.273366838226,1.6211411,NA,0.460186474196022,1.7054105660847,0.111212873446624
KP0963_HU_WP05,38.1695421744163,85.7690283374859,1.90288973,NA,0.744290120161835,2.17430202846448,0.0201979630040114
KP0965_AC_WP05,88.744584276845,19.0868758422132,3.15319291,NA,0.545847174397779,5.76986559953194,0.0127577322759389
KP0966_AC_WP05,25.7441055930195,38.638321962368,1.56424577,NA,0.476762023231126,1.94185837745534,0.0535655781780239
KP0968_HU_WP05,64.9696331432613,46.5352659721302,1.35761405,NA,0.605870189773302,1.87768382405196,0.00482573969071242
KP0969_HU_WP05,33.2582284769126,85.2686162202588,1.48475065,NA,0.440473698359405,1.27593506316504,0.00575728133490654
KP0970_HU_WP05,9.92600569072722,60.9105881718881,1.08182146,NA,0.432163273197868,1.38449137642227,0.0150107886866108
KP0971_HU_WP05,26.6728234073168,68.9889483258813,1.11212368,NA,0.790244534187161,1.26428553701142,0.0182334083233551
KP0972_HU_WP05,6.47651935211351,62.0893112972865,2.07949554,NA,0.569842018987419,2.13253885641671,0.0188692948176164
KP0973_HU_WP05,18.9100965542363,33.7022188063569,1.37174485,NA,0.565590522941605,2.1591071476813,0.0227545242582876
KP0974_AC_WP05,12.2100577358664,20.0081939704303,2.76777553,0.112328767123288,0.721505209758565,1.66975463225256,0.0872749379255317
KP0975_AC_WP05,38.3516415370993,17.1606771550939,1.9105941,NA,0.741912832311457,1.68251240327447,0.0297165604174186
KP0976_AC_WP05,15.6146615737025,39.1667137999651,1.89769138,NA,0.666922666192659,2.06440036004486,0.00947467568111539
KP0977_AC_WP05,34.7905692159841,77.6922134894603,1.97250024,NA,0.564353903864232,1.88346060428344,0.0167172644392074
KP0978_AC_WP05,84.0827076948792,12.8454371710892,1.69000266,0.025,0.442883291880801,1.60895952827122,0.0854866223808021
KP0979_HU_WP05,60.936942292731,25.8530247000993,1.44095884,NA,0.68450744164583,1.51412602965827,0.0141013837751602
KP0980_HU_WP05,45.9668973715732,73.9776207443242,1.49215043,NA,0.651394855537192,1.51508560521709,0.0104252491291218
KP0981_AC_WP05,80.4103066587013,38.3662658517794,1.16608944,NA,0.566003738242448,1.98199160713784,0.0943199528654391
KP0982_AC_WP05,84.3924050136069,86.3787141753984,1.64008636,0.00529500756429652,0.595071349458641,2.28818703268672,0.118924748077119
KP0983_AC_WP05,33.8277280170485,35.5855997788875,1.55093041,NA,0.44915642602426,1.30659651472172,0.0646311474313991
KP0984_HU_WP05,42.6072828281612,0.624281262815799,1.0,NA,0.516497356484915,1.22541485693182,0.0196299660582232
KP0986_HU_WP05,9.74458847101538,43.4240969311011,1.79125573,NA,0.618168874852698,2.02423590896763,0.0155683649816243
KP0987_HU_WP05,30.0618246879067,20.0259212975067,1.60581475,NA,0.568109669223886,2.03091090676834,0.00973776154423993
KP0988_AC_WP05,79.6702912823098,49.6670716466184,1.6883704,NA,0.494270695443702,1.75691901417246,0.0109718501782752
KP0739_HU_WP10,8.17098034566466,79.2491276338226,1.14136216,0.578947368421053,0.791724202026014,1.43187510551523,0.0177852444368033
KP0740_HU_WP10,10.0021756862896,24.4768826265352,1.97629352,NA,0.516056666111791,2.06573573727241,0.0108028795622568
KP0741_AC_WP10,71.8357088564012,84.0058864656439,1.3176028,0.0142579390797148,0.518422298701429,1.95158358908416,0.14127585071272
KP0742_AC_WP10,2.09825643370267,10.7681356221657,2.12934665,0.141552511415525,0.77990281890185,1.85198526389649,0.0648438997729601
KP0743_AC_WP10,83.7656521016733,31.1373565711377,1.8303181,0.237331081081081,0.566086848049346,2.68389068243896,0.136942686721688
KP0744_HU_WP10,31.4729069422195,1.99155497819078,1.1969606,NA,0.468935853255533,1.13448581641295,0.0167003425029694
KP0745_AC_WP10,36.8713862552021,59.7931098815654,1.35230915,NA,0.498000589817999,1.34116682161854,0.0481655570830276
KP0746_AC_WP10,2.77731595077999,71.084498610203,1.02848307,0.0691399662731872,0.481966425448129,1.74409464275978,0.0895318984614753
KP0747_AC_WP10,60.9490885421753,11.8829564552828,1.19444066,0.144444444444444,0.416432957155112,1.54416955300111,0.0600376288747482
KP0748_AC_WP10,11.2944521800254,51.0585051955811,2.01017665,NA,0.65129863227353,2.25271389920673,0.0292648805684281
KP0749_AC_WP10,37.5362340897329,67.8562070007599,2.20945999,0.0797607178464606,0.615610718535543,2.14976706018604,0.109251579448073
KP0750_AC_WP10,71.13385898973,57.2748999534105,1.93389773,NA,0.789151872056744,1.51636895304149,0.0110560391568207
KP0751_AC_WP10,39.6636458070203,74.8356729921699,2.28773195,NA,0.64624462140563,1.81949689092565,0.0402708299574895
KP0752_AC_WP10,37.9454025073443,52.1162012414744,6.6321024,NA,0.516449672347864,4.84356552810107,0.0111713614352498
KP0753_AC_WP10,15.0573892996302,77.5707458874121,1.30889495,0.518518518518518,0.577213151522537,2.38132771929987,0.0763712828009603
KP0754_LM_WP10,17.9426020368877,8.3870322195751,1.80389804,0.199095022624434,0.412269135742679,2.06988638722756,0.22674579466116
KP0755_AC_WP10,78.6454656616135,75.2400151428711,1.78924653,0.262045959970348,0.497503759119521,3.33237671242252,0.159656510523073
KP0756_AC_WP10,28.7284661788468,40.6013512391155,2.79342262,0.282926829268293,0.395875433081402,2.35200014207586,0.119252524786035
KP0757_AC_WP10,77.8980270829777,89.0525841275021,1.48888886,NA,0.475102315154251,1.61085315652551,0.0508941142437623
KP0758_AC_WP10,50.5023710588988,80.0509601444537,1.75701965,NA,0.513762389617015,1.85004306917389,0.099150161464204
KP0759_AC_WP10,8.86775772716404,8.72264874128496,2.67670062,NA,0.557604528392168,2.56035963792367,0.0666872812088436
KP0760_AC_WP10,47.0217852173755,70.5690779772915,2.36772093,0.344947735191638,0.447472546083366,2.6867273873191,0.13211017096775
KP0761_AC_WP10,22.5916361019229,20.6129563049986,3.05518209,NA,0.481062559481477,2.05345073807053,0.0780731863727453
KP0762_AC_WP10,34.8415558436267,62.9864244578671,2.86032554,0.103901797457256,0.494368224346507,3.87587258751305,0.0780910306785708
