,xy,xz,yz,outcrop_prop,overhang_prop,range
KP0950_AC_WP05,0.8862018332919325,13.971500704612936,8.107876183962402,0.6263305757885054,0.2727272727272727,0.019532940022007582
KP0952_HU_WP05,21.205671396175937,3.3281422015447584,,0.49212637554056626,0.0,0.001988376858215339
KP0954_HU_WP05,,43.95322582854845,,0.5824106538544586,,0.000965725608962737
KP0955_HU_WP05,28.894944281333146,,15.216169848522487,0.5685676473161384,,0.0013395896626558388
KP0956_HU_WP05,4.546301467194133,0.7812178638743865,11.191014935168372,0.812085431807428,0.0,0.0021267643271724586
KP0957_HU_WP05,,,,0.5541213116721712,,0.0007520580717487455
KP0958_HU_WP05,,15.617170636232915,14.63267844792863,0.5102631168610304,0.0,0.0018710847277769737
KP0962_AC_WP05,18.521008149597417,28.538319326352116,7.671432655267743,0.46018647419602154,1.0,0.01932382593662619
KP0963_HU_WP05,8.494480375075565,,43.174758096010386,0.7442901201618343,0.0,0.0035095030752105806
KP0965_AC_WP05,20.828164463418368,38.48029017568223,,0.5458471743977745,0.0,0.0022167235699079553
KP0966_AC_WP05,0.9937442777546355,29.72824535343149,24.151696085299204,0.47676202323112576,1.0,0.009307302984160942
KP0968_HU_WP05,,,,0.6058701897732771,,0.0008384978367054858
KP0969_HU_WP05,,,,0.4404736983594022,,0.001000358132436135
KP0970_HU_WP05,22.053973605099518,21.579652712630594,3.8249619246062565,0.43216327319786746,0.0,0.002608204057336578
KP0971_HU_WP05,4.520690852314245,3.223502102489244,2.2467247560812575,0.7902445341871569,0.0,0.0031681512917751285
KP0972_HU_WP05,14.196231887643943,41.11194900191202,23.735319432841965,0.5698420189874138,0.0,0.003278639938905125
KP0973_HU_WP05,0.06587351894051602,4.310820620632712,3.7144027897730156,0.5655905229416045,0.0,0.003953719137100816
KP0974_AC_WP05,10.289408650321116,18.85923904804862,22.85024417147367,0.7215052097585657,0.0,0.01516448282322505
KP0975_AC_WP05,3.4035472449093547,28.41012495972654,8.312894604355696,0.7419128323114504,0.0,0.005163409802706305
KP0976_AC_WP05,27.235946364718792,,9.169675835105345,0.6669226661926593,,0.001646275093824733
KP0977_AC_WP05,,36.16319618306026,20.49571455574781,0.5643539038642382,0.0,0.0029047132597903543
KP0978_AC_WP05,1.649848146916047,39.982956605523306,26.22942533626748,0.44288329188080106,0.0,0.014853753523323434
KP0979_HU_WP05,31.379105670381158,44.65503558521674,24.78515604087907,0.6845074416458184,0.0,0.002450190136194458
KP0980_HU_WP05,,1.0764499610094782,47.676421548532915,0.6513948555371942,0.0,0.0018114422662930355
KP0981_AC_WP05,41.54318295935023,31.816990337702904,10.24428462532186,0.5660037382424478,1.0,0.01638859149158925
KP0982_AC_WP05,4.973571601850438,1.297594291407509,13.075245249225002,0.5950713494586404,1.0,0.020663805009069492
KP0983_AC_WP05,9.654422847819871,43.78983894684686,44.68643341314304,0.4491564260242596,1.0,0.011230004264283255
KP0984_HU_WP05,,9.562297440560963,20.39164666591509,0.5164973564849165,0.0,0.0034108105967879734
KP0986_HU_WP05,28.055035083183604,42.49168220080539,11.081239615593542,0.6181688748526989,0.0,0.002705085892481331
KP0987_HU_WP05,,,,0.5681096692238731,,0.0016919876562993081
KP0988_AC_WP05,14.225417103611262,42.127313451707955,26.26075002666458,0.4942706954436933,0.0,0.0019064170943257604
