,x,y,z
KP0407_AC_CA05,-3.2081905104118555,-19.678237376834293,0.03903764080457812
KP0408_AC_CA05,-0.26235562920901473,-18.067081871949316,-0.5884382563976293
KP0409_AC_CA05,-1.440077988614108,-10.806274773472014,-0.5317075291162207
KP0410_HU_CA05,-1.2308747371649689,-12.656576895339503,-0.6267219534524028
KP0411_HU_CA05,-1.1524959924555656,-12.673519919478924,-0.6229160937742729
KP0413_HU_CA05,-0.9667617904152314,-14.629868177166525,-0.5705058064110033
KP0414_HU_CA05,-0.8594629173246738,-14.577672016299532,-0.6049164791923454
KP0415_HU_CA05,-0.6091265432379697,-13.928620661120465,-0.4328916780123258
KP0417_HU_CA05,-0.1644472685498081,-13.079161628724139,-0.5214228428033634
KP0418_HU_CA05,-0.1077417565667244,-13.012187113050752,-0.5762174197085642
KP0419_HU_CA05,0.11607976424146925,-12.848404996203213,-0.8088470072713239
KP0424_AC_CA05,-1.2876468032616624,-9.142920334469872,-0.701758449669963
KP0426_HU_CA05,0.25851303439124756,-10.671550671956085,-0.7785025478387657
KP0432_HU_CA05,-0.7756900553270074,-4.58934866566655,-0.9804048126590393
KP0433_AC_CA05,-1.313851819862299,-4.767594847392355,-0.8252867617613954
KP0434_HU_CA05,-0.5630546643686519,-5.447495068610417,-0.8914673495444152
KP0435_HU_CA05,-0.1244255773752575,-5.671610044467521,-0.8385421640693574
KP0436_HU_CA05,-1.1219630229772368,4.195391932074655,-0.9416529975418558
KP0439_HU_CA05,-0.5443297663144493,0.7328864857448557,-1.2687420450196374
KP0440_HU_CA05,0.3675778293601252,-1.2961499302898054,-1.1759103749543138
KP0441_AC_CA05,0.3567256496267469,-1.2302692562501036,-1.21715602057346
KP0442_HU_CA05,-0.09521947364817097,2.4078383386357927,-1.1987597510031154
