plot_name	sample_name	colony_points	mean_colony	low_colony	high_colony	mean_env	low_env	high_env	outcrop_prop
cur_sna_05m_20200303	KP0130_AC_SB05	469	-1.4689610165239062	-1.4886774315787583	-1.443707770065519	-1.481921208539532	-1.7212285692397158	-1.0812523880641913	0.3941827213825961
cur_sna_05m_20200303	KP0132_HU_SB05	405	-1.5577484669218349	-1.578504926130961	-1.548163978129945	-1.6388608913450264	-1.9312524771383	-1.387531577261283	0.6869406901609763
cur_sna_05m_20200303	KP0133_HU_SB05	438	-1.703543235384211	-1.7255618627697724	-1.68899389396468	-1.7212004802199323	-1.9535974542282621	-1.387531577261283	0.4417404917319151
cur_sna_05m_20200303	KP0134_HU_SB05	109	-1.8246610855112377	-1.837072708749031	-1.8150784397916642	-1.7910232303762013	-1.9535974542282621	-1.4514677221785899	0.25677899651691927
cur_sna_05m_20200303	KP0135_HU_SB05	681	-0.49870299096752657	-0.5249674269788902	-0.4821426606174863	-0.5902881200457014	-0.7624050100897486	-0.26005773071061217	0.5249396780811434
cur_sna_05m_20200303	KP0137_HU_SB05	250	-0.360656522466494	-0.3806388301215978	-0.34564034745427835	-0.3798874434259169	-0.5133010203731984	-0.07252567049828024	0.34630906186115296
cur_sna_05m_20200303	KP0138_HU_SB05	45	-0.3824110444684112	-0.3899330520654712	-0.3752733950100649	-0.3789488671732126	-0.5133010203731984	-0.07252567049828024	0.2969539379684702
cur_sna_05m_20200303	KP0139_HU_SB05	107	-0.4510434419426154	-0.46487140131433585	-0.4406020514882545	-0.4453920530773796	-0.5328036422272958	-0.18057856554956006	0.23212487042620747
cur_sna_05m_20200303	KP0140_HU_SB05	199	-0.46166986351933526	-0.47108179013215035	-0.44605677502299407	-0.43946083947876174	-0.5278840628803281	-0.1760756586432296	0.1882109652968048
cur_kal_05m_20200214	KP0950_AC_WP05	10676	-1.361712743225743	-1.4120530164601153	-1.3011088149209837	-1.3881317829241047	-1.6607869473295276	-1.0888892616981538	0.5229505410108581
cur_kal_05m_20200214	KP0952_HU_WP05	57	-1.26184227992345	-1.2689829086331246	-1.254902976536565	-1.2707090844813769	-1.63302263648643	-0.9194912858947906	0.5202018891744672
cur_kal_05m_20200214	KP0954_HU_WP05	15	-1.1889375525868071	-1.1921939451259616	-1.1857891519979136	-1.2155348025272754	-1.5820655419652108	-0.9009881915351146	0.5772148921560021
cur_kal_05m_20200214	KP0955_HU_WP05	39	-1.1711965591555349	-1.1754122469405233	-1.1676557563893555	-1.1920972341346625	-1.5638312782440218	-0.9009881915351146	0.5923494216979222
cur_kal_05m_20200214	KP0956_HU_WP05	84	-1.1362957066868244	-1.141977726126809	-1.133744032839191	-1.1560576352815461	-1.5321230617317965	-0.9009881915351146	0.6271676209581313
cur_kal_05m_20200214	KP0957_HU_WP05	5	-1.1989507654995812	-1.1991715577914976	-1.1986770032996437	-1.223884043523572	-1.5944116117182576	-0.9046328388459128	0.5733154770360889
cur_kal_05m_20200214	KP0958_HU_WP05	45	-1.1519295792181303	-1.157514538703639	-1.1477176485170077	-1.140333663698229	-1.5147435757671852	-0.9009881915351146	0.5911377820383718
cur_kal_05m_20200214	KP0962_AC_WP05	5204	-1.3995274060908771	-1.4513781369208547	-1.357615424532148	-1.405321634366676	-1.8351135853681124	-0.989439476574171	0.5150756949369619
cur_kal_05m_20200214	KP0963_HU_WP05	194	-1.482357494643537	-1.4981845221177483	-1.4710195701643596	-1.516229801064511	-1.8113883393365582	-1.0772113231525235	0.4481628237331578
cur_kal_05m_20200214	KP0965_AC_WP05	75	-1.254127388823312	-1.2663714995939819	-1.245143007618742	-1.333806255029551	-1.5580482626289913	-0.9150282085077924	0.47264602691286384
cur_kal_05m_20200214	KP0966_AC_WP05	1806	-1.3607295826349466	-1.3955082359121938	-1.3235214131667066	-1.3147935944145241	-1.63689280591534	-0.9574567019137202	0.40645944725912747
cur_kal_05m_20200214	KP0968_HU_WP05	8	-1.5039118405031089	-1.5055646286159086	-1.50290986730204	-1.5234132813989767	-1.7496257546346772	-1.178716325282859	0.4303903587834229
cur_kal_05m_20200214	KP0969_HU_WP05	12	-1.6163820553260555	-1.6189468059715184	-1.6138681573188962	-1.6502524755968857	-1.8713127531601426	-1.4795548319391896	0.6507352730471151
