,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0739_HU_WP10,8.17098034566466,79.24912763382264,[1.14136216],0.5789473684210527,0.7917242020260142,1.4318751055152263,0.017785244436803297
KP0740_HU_WP10,10.002175686289561,24.476882626535183,[1.97629352],,0.5160566661117912,2.065735737272412,0.01080287956225684
KP0741_AC_WP10,71.8357088564012,84.00588646564385,[1.3176028],0.014257939079714841,0.5184222987014285,1.9515835890841622,0.14127585071271956
KP0742_AC_WP10,2.098256433702673,10.768135622165659,[2.12934665],0.1415525114155251,0.7799028189018502,1.8519852638964924,0.06484389977296005
KP0743_AC_WP10,83.76565210167327,31.137356571137662,[1.8303181],0.23733108108108109,0.5660868480493463,2.683890682438962,0.13694268672168797
KP0744_HU_WP10,31.47290694221951,1.991554978190777,[1.1969606],,0.46893585325553283,1.1344858164129457,0.01670034250296937
KP0745_AC_WP10,36.87138625520212,59.79310988156537,[1.35230915],,0.4980005898179991,1.3411668216185404,0.0481655570830276
KP0746_AC_WP10,2.777315950779993,71.08449861020304,[1.02848307],0.06913996627318718,0.48196642544812945,1.7440946427597768,0.08953189846147534
KP0747_AC_WP10,60.94908854217528,11.882956455282766,[1.19444066],0.14444444444444443,0.41643295715511186,1.5441695530011088,0.06003762887474815
KP0748_AC_WP10,11.294452180025374,51.058505195581134,[2.01017665],,0.6512986322735305,2.2527138992067255,0.0292648805684281
KP0749_AC_WP10,37.53623408973292,67.85620700075991,[2.20945999],0.07976071784646062,0.6156107185355428,2.1497670601860364,0.10925157944807333
KP0750_AC_WP10,71.13385898973,57.27489995341053,[1.93389773],,0.7891518720567439,1.5163689530414948,0.011056039156820675
KP0751_AC_WP10,39.66364580702027,74.83567299216988,[2.28773195],,0.6462446214056301,1.8194968909256475,0.04027082995748951
KP0752_AC_WP10,37.945402507344305,52.11620124147445,[6.6321024],,0.5164496723478638,4.843565528101071,0.011171361435249827
KP0753_AC_WP10,15.057389299630202,77.57074588741214,[1.30889495],0.5185185185185185,0.5772131515225369,2.381327719299874,0.07637128280096032
KP0754_LM_WP10,17.94260203688775,8.387032219575104,[1.80389804],0.19909502262443438,0.4122691357426788,2.0698863872275637,0.22674579466115977
KP0755_AC_WP10,78.64546566161346,75.24001514287114,[1.78924653],0.2620459599703484,0.497503759119521,3.3323767124225157,0.1596565105230728
KP0756_AC_WP10,28.7284661788468,40.601351239115466,[2.79342262],0.28292682926829266,0.3958754330814018,2.352000142075856,0.11925252478603492
KP0757_AC_WP10,77.89802708297775,89.05258412750214,[1.48888886],,0.4751023151542512,1.6108531565255133,0.05089411424376233
KP0758_AC_WP10,50.50237105889875,80.0509601444537,[1.75701965],,0.5137623896170151,1.8500430691738914,0.09915016146420401
KP0759_AC_WP10,8.867757727164044,8.722648741284956,[2.67670062],,0.5576045283921678,2.560359637923673,0.06668728120884362
KP0760_AC_WP10,47.02178521737553,70.56907797729149,[2.36772093],0.34494773519163763,0.44747254608336584,2.686727387319103,0.13211017096775016
KP0761_AC_WP10,22.59163610192294,20.61295630499862,[3.05518209],,0.4810625594814773,2.053450738070528,0.07807318637274531
KP0762_AC_WP10,34.84155584362671,62.98642445786709,[2.86032554],0.10390179745725558,0.4943682243465067,3.8758725875130544,0.07809103067857084
KP0763_LM_WP10,11.909707231864289,56.616581055466476,[1.51187404],0.5714285714285714,0.5182945201381396,1.812964526581958,0.17997494675079828
KP0764_HU_WP10,54.77018863614127,69.62535421414633,[1.75919309],,0.5453715508074566,1.998989819495661,0.04157564410434377
KP0765_AC_WP10,72.48006453504544,56.249543592533286,[1.32606758],0.27586206896551724,0.48379924229881915,1.8444401569915898,0.06209247836812248
KP0766_AC_WP10,69.08008063857598,69.05465871268724,[1.83876285],0.35943775100401604,0.48337323410458927,2.3565373341638276,0.08037025198316863
KP0767_AC_WP10,59.051420310174734,63.637092887565,[1.25291972],,0.39788988173507706,2.169613710177655,0.0903017507229034
KP0768_HU_WP10,58.339305220852694,41.79980401417063,[2.05836058],0.03225806451612903,0.524895354095025,1.7254098785891059,0.02700264679597901
KP0769_AC_WP10,29.458337332523627,54.71334883939868,[2.96047288],0.05307994757536042,0.6929713477757798,2.8603535609713284,0.3052599768994223
KP0770_AC_WP10,34.61383926841148,23.889905370665872,[2.62093673],,0.4569666313553719,2.2207163483954404,0.015907475419157935
KP0771_AC_WP10,5.984637340401022,27.11914662655946,[1.52991383],0.43434343434343436,0.48336165938825343,2.2756496159663224,0.061941154207529645
KP0772_AC_WP10,63.168052722223194,71.44457469618455,[1.7851264],,0.4311254508004892,1.7193111699291572,0.03280805559813124
KP0773_AC_WP10,82.68159489862848,61.54756673972544,[1.4955148],,0.5241358319044012,1.5662295184353046,0.07739172029879865
KP0774_AC_WP10,46.42764801746854,25.661928465831807,[1.64662431],,0.5168703263100686,1.1067957568642712,0.02091907311203708
KP0775_HU_WP10,43.72778289346838,23.490262992934888,[1.84724893],,0.5081470616216737,1.5451407775213464,0.02462151849814968
KP0777_AC_WP10,15.440251419506637,33.81958710657195,[1.50094226],0.4827586206896552,0.5513191834308122,2.55637205603504,0.0817437498232369
KP0778_AC_WP10,41.74581327892034,70.50992407797537,[2.77195124],,0.5809782578548061,2.8678354500340166,0.08139200890600748
KP0779_AC_WP10,75.33106574316285,15.834255820216764,[2.66216986],0.036653730056058646,0.7785830877080651,1.83812457344816,0.08500750236434973
KP0780_AC_WP10,42.74552031370437,3.73773636186354,[1.51298697],,0.5804090659973071,2.580230118201827,0.08929048583868221
KP0781_AC_WP10,1.9276615967761614,79.03852172835657,[2.01482542],,0.43740933999454995,2.187003940548713,0.02876979434331942
KP0782_AC_WP10,51.73291833237488,32.64913537063639,[2.11787497],,0.6611291820211036,2.447921110740547,0.09736848659502349
KP0783_HU_WP10,26.704950836911877,22.455063520291404,[2.12095361],,0.7030223030157782,2.1160710334741335,0.02977856639629449
KP0784_AC_WP10,22.99026996464174,36.59255190776831,[2.49422122],,0.6152194203081415,2.300825715314084,0.06993145063388422
KP0785_AC_WP10,45.41677664148107,71.04566369157769,[1.1791782],,0.6169107105576603,1.5433003551376043,0.023108564923300077
KP0786_HU_WP10,13.768271425283118,87.90709684187804,[1.2319786],,0.7345403974011083,1.3110595500488809,0.01623931171772467
KP0787_AC_WP10,58.22168328893233,39.39131200455057,[2.32323689],0.0019342359767891683,0.6706802404547124,2.8565061562838845,0.22539234338242983
KP0788_AC_WP10,85.53108780559756,10.315271258909577,[1.85989742],,0.8073754821995359,2.2052953338622165,0.023093145281269368
KP0789_HU_WP10,22.133547038814015,35.53722869191364,[1.66103659],,0.4983391788445096,1.5378251270831873,0.014303090106215381
KP0790_AC_WP10,37.448940045784504,35.224526125123205,[3.8194186],,0.5796274398573144,2.076450189502009,0.054243875343573514
KP0791_AC_WP10,26.47722427808955,27.404083633357885,[2.31357139],,0.4366516042679341,1.8719503524834067,0.031148981276832338
KP0792_AC_WP10,34.561420417884406,35.495364363783764,[3.13851938],,0.5916755004029949,3.3945385346322174,0.07774914817548975
KP0793_AC_WP10,65.49152693266693,39.763408925712326,[2.11825604],,0.4720129787033252,2.02064124153168,0.07307665325059153
KP0794_AC_WP10,82.18769732949347,22.23742266516071,[2.08488298],,0.6445839766209303,1.6677406342359313,0.031369594625548926
KP0795_LM_WP10,6.4745542853910365,54.40310071026897,[1.30860931],0.12292358803986711,0.3234297676506077,1.878341807462925,0.13073450458676017
KP0797_AC_WP10,1.6133794554859264,73.59929522173314,[1.47965492],,0.5487016884443592,1.5267363296744199,0.07179618253164201
KP0799_AC_WP10,14.586706457859492,74.34256620191216,[1.54215062],0.02774694783573807,0.5521665343372248,2.15866332652858,0.11352553765933264
KP0800_AC_WP10,17.8383886519195,12.881644266613947,[1.8661783],,0.6403881708885605,2.296827851004144,0.05234944002025637
KP0801_AC_WP10,88.51707085236445,45.76631999981712,[1.50610784],0.20336943441636582,0.4197873088592934,2.2901688340311375,0.06001513206087198
KP0802_AC_WP10,28.690177734038215,31.70296778938068,[1.44490753],,0.3550515960373662,2.5771112855849347,0.03959732144834432
KP0803_HU_WP10,76.72777495880437,37.55778512055123,[1.60092804],,0.5619746298069107,2.0427097386083317,0.02880223671295911
KP0804_AC_WP10,17.597050767258356,89.75884015704625,[2.84444876],,0.5110561393834038,2.8227638714699923,0.06805358823105911
KP0805_HU_WP10,25.22947005075035,78.84189410978084,[1.95412547],,0.45767754404243666,1.7413161558843688,0.042353639868986444
KP0806_AC_WP10,89.99919362505813,14.272723957306805,[1.83799064],,0.7789826798210182,2.509293886174073,0.03692260784074953
KP0807_AC_WP10,18.082932051318558,78.69348183033945,[4.58094405],,0.5652007440890245,2.5706440656167135,0.13016573662841419
KP0808_AC_WP10,28.64668614764402,9.787259873982933,[2.54350826],0.03929539295392954,0.5775772768423144,2.6463753409056614,0.09686263806042547
KP0809_AC_WP10,41.56188030346306,27.039953053193216,[1.67282375],,0.5005610165326775,1.9272620469666026,0.041646610672417705
KP0810_AC_WP10,28.390192171899216,37.897186672970946,[2.05956994],0.029850746268656716,0.501797346701491,2.6479370153809754,0.04579807905390915
KP0811_AC_WP10,21.760458998294354,0.9267569364189114,[1.17239333],,0.5570471032322506,1.6080566765285653,0.041588185507538004
KP0812_AC_WP10,32.896808704216745,32.50946153126311,[4.33706385],,0.5151277919149584,2.9201611888616132,0.09251349133339258
KP0813_AC_WP10,34.094652099893615,16.75171182185558,[2.03366252],0.0,0.5238314385590599,2.218512150780046,0.13448309589749258
KP0815_AC_WP10,33.362969631679476,66.15984417202462,[1.34868613],0.13947990543735225,0.4483893363032881,2.0444454693832985,0.20998673693638348
KP0816_AC_WP10,30.976404633734433,33.672704627875746,[1.45207154],0.5714285714285714,0.486438122867795,2.0657872065822245,0.07379356161106439
KP0817_AC_WP10,13.111966945496306,60.67985985706074,[1.33474158],0.3693181818181818,0.5958228980371683,1.5772934074674425,0.09363725295244262
KP0819_AC_WP10,15.801910117751135,0.9513262393489583,[1.00221291],0.5,0.3944808970391188,1.6957926648871184,0.06840205862540107
KP0820_AC_WP10,26.714338677526314,31.663374363958113,[2.16905424],0.16666666666666666,0.7817628631496041,1.6964891806901707,0.0345792480081424
KP0823_AC_WP10,12.619710889366374,16.870463004440495,[2.12545263],,0.6146321906690898,2.0214463322350875,0.10490758727005889
KP0824_AC_WP10,32.29154140327269,67.99273199179694,[2.7340824],,0.4911114908464089,2.437661386891282,0.18000780490106566
KP0825_AC_WP10,41.21293756573666,38.37616015584791,[2.02194073],,0.5132871056406264,3.2062624307487426,0.09129696987642313
KP0831_HU_WP10,19.12698255231298,29.107486751001098,[2.9493781],,0.535373476598419,2.4136004976723564,0.031041345900495163
KP0833_AC_WP10,36.610106947295016,53.64661871134378,[1.91805456],,0.5365763924545838,3.150551720985134,0.04553348344794931
KP0835_AC_WP10,37.17842665152498,14.269999284368467,[2.37784636],,0.5059032739712445,4.27236297397423,0.10819225558677002
KP0837_AC_WP10,73.07871277678773,30.1290581282087,1.0,,0.5290609667021325,1.7824509920521312,0.17586257692862492
KP0845_AC_WP10,24.00382976150768,15.703775388451405,[2.24271546],,0.36973544443324785,1.9246804108309703,0.02942145658513227
KP0849_AC_WP10,69.51035064171988,27.74247256161152,[2.02869534],,0.5530748083390069,2.551054038846229,0.13092014047139364
KP0851_AC_WP10,7.005872056308945,14.053771270014218,[2.56726772],,0.5156199483321562,2.410346859870561,0.07271408831287793
KP0853_AC_WP10,2.746660496530936,62.128709302871805,[1.77365687],,0.7419434781975396,1.9413554165613642,0.04127181827867938
KP0855_AC_WP10,37.68875244301839,74.23356548675159,[1.66257516],,0.5490768941365943,2.421022054462525,0.09068389207996772
KP0857_AC_WP10,0.3529231051599879,81.27119067072728,[2.28385886],,0.575867808304682,3.068689119023906,0.18667931012723993
KP0859_HU_WP10,62.89789678549015,47.348062954221625,[1.728358],,0.4238761192999653,3.3638123689331434,0.03018747341999111
KP0861_AC_WP10,24.959580126539464,75.53819916254902,[3.46727419],,0.45970534207794855,2.5266464218257094,0.061415035800971726
KP0863_AC_WP10,74.82658054594575,22.43054579572004,[2.1913018],,0.7497415565066887,2.985230281863987,0.06801436917217034
KP0879_AC_WP10,82.88210251229215,8.932139978019837,[2.87289493],,0.5764309910903374,3.0740055360970975,0.07364783663209383
KP0881_AC_WP10,84.6931047319992,42.91205498622839,[2.67312647],,0.7165665819272078,2.6039944209102206,0.09298953690104407
KP0883_AC_WP10,30.017059285158737,28.38395738051399,[3.62293048],,0.567171413052667,3.458823500723901,0.13200278864002254
KP0885_AC_WP10,36.561477705127764,31.978700988176783,[3.03349498],,0.5790939809756476,2.6573771363087193,0.09774678627175422
KP0887_AC_WP10,79.70538517167319,57.051824880852685,[1.83739467],,0.356270048347252,2.639090187858546,0.10053302187028995
KP0889_LM_WP10,67.1544435807616,46.57886269153924,[1.56099521],,0.41300169195796704,2.431231821697379,0.17705362889992002
KP0891_AC_WP10,85.13837897065076,58.908448786669005,[1.07992236],,0.5473664547660597,1.9984119928125144,0.02650726190512751
KP0893_LM_WP10,32.79984602102646,78.02486236933608,[1.25076192],,0.5303299668352728,1.4984760372683223,0.1180498997196631
KP0895_AC_WP10,35.10627242875813,80.45474744372656,[1.53866141],,0.5282139202049472,1.635436016595743,0.09461530846254929
KP0899_HU_WP10,88.45936809369653,57.40031420470042,[1.77964353],,0.5750270679799445,2.143847276553099,0.015018396693798747
KP0903_HU_WP10,79.61452651307935,43.917484885835265,[1.19791823],,0.766056383966854,2.003034831853356,0.023439329322118008
