plot_name	sample_name	colony_points	ground_elevation	overhang_prop	outcrop_prop	environment_rugosity	colony_radius	environment_radius
SB10	KP0051_AC_SB10	5484	52.944112	0.625487709	0.512025951	1.861641297	0.097040024	0.1
SB10	KP0052_AC_SB10	3322	66.73548997	0.024650464	0.514534722	2.464029338	0.08269655	0.1
SB10	KP0053_AC_SB10	474	92.95332252	0	0.559153323	2.161755305	0.039859705	0.1
SB10	KP0054_AC_SB10	258	49.19085818	0.032330547	0.484714478	1.969324231	0.033564081	0.1
SB10	KP0056_AC_SB10	178	72.63416002	0.067516264	0.565087919	2.042426709	0.021139549	0.1
SB10	KP0057_AC_SB10	2789	99.65905439	0.004517481	0.490299922	1.988207443	0.066567893	0.1
SB10	KP0058_AC_SB10	3559	96.77251753	0.042352437	0.585617837	2.335885513	0.071248696	0.1
SB10	KP0059_AC_SB10	194	25.30879314	0	0.52808008	1.729844682	0.024808335	0.1
SB10	KP0061_AC_SB10	5656	59.99263387	0	0.694316797	2.162699973	0.116094444	0.1
SB10	KP0062_AC_SB10	3336	38.73216599	0.026355836	0.54284516	2.323978548	0.073328225	0.1
SB10	KP0064_AC_SB10	2783	39.99851575	0.006362724	0.523535195	2.13184936	0.06355515	0.1
SB10	KP0065_AC_SB10	758	79.93542284	0	0.672958429	1.831786209	0.039422914	0.1
SB10	KP0069_AC_SB10	40251	129.2556379	0.010507161	0.526035336	2.289461575	0.214680307	0.1
SB10	KP0070_AC_SB10	2611	103.2992332	0.801518886	0.352384536	1.66155053	0.087469375	0.1
SB10	KP0072_AC_SB10	1305	34.05565138	0.077773522	0.470830794	1.834969161	0.038694466	0.1
SB10	KP0073_HU_SB10	160	42.53015593	0	0.552716885	1.807756658	0.020375636	0.1
SB10	KP0074_AC_SB10	1021	59.08798828	0	0.583050538	1.619879837	0.046878399	0.1
SB10	KP0077_AC_SB10	540	92.48235159	0.160809942	0.436817622	1.781055432	0.04150118	0.1
SB10	KP0078_AC_SB10	583	33.9320351	0.803395139	0.487073245	1.964451182	0.02975105	0.1
SB10	KP0084_AC_SB10	383	24.6273695	0.562208502	0.370087844	2.121097707	0.030651662	0.1
SB10	KP0086_LM_SB10	4793	36.26206561	0.131003647	0.503602683	1.615623579	0.095980105	0.1
SB10	KP0088_AC_SB10	5482	104.5150193	0.044670117	0.600561385	1.450427543	0.11317729	0.1
SB10	KP0089_AC_SB10	5867	119.3368774	0	0.702075964	2.137661831	0.083358004	0.1
SB10	KP0090_AC_SB10	353	27.953231	0	0.727056134	1.482719128	0.030657233	0.1
SB10	KP0095_AC_SB10	377	102.1444347	0.50105921	0.468957726	1.636644453	0.03018057	0.1
SB10	KP0098_AC_SB10	634	11.91236392	0.230598585	0.473372333	2.310815719	0.039705085	0.1
SB10	KP0099_AC_SB10	160	44.89168957	0.65767025	0.409846387	1.574263453	0.017943288	0.1
SB10	KP0100_AC_SB10	629	8.918046257	0	0.580015627	2.049338248	0.028064383	0.1
SB10	KP0102_AC_SB10	15035	39.15311912	0	0.686029368	2.263147329	0.149905733	0.1
SB10	KP0103_AC_SB10	1324	77.37756839	0.415300824	0.593807425	2.488396001	0.047936712	0.1
SB10	KP0104_AC_SB10	1773	34.47088888	0	0.640718707	1.973202095	0.060566152	0.1
SB10	KP0105_AC_SB10	949	41.69480132	0.018507383	0.595046925	1.902534834	0.038324767	0.1
SB10	KP0108_AC_SB10	1578	32.5875717	0.018937812	0.511484228	1.319160178	0.051093048	0.1
SB10	KP0109_LM_SB10	4066	45.08584168	0.719026767	0.485384344	1.859159138	0.087453353	0.1
SB10	KP0112_AC_SB10	1253	12.0074556	0.211476195	0.473670988	1.944570363	0.042757097	0.1
SB10	KP0116_AC_SB10	3075	4.468737662	0	0.802953677	1.792197024	0.080813459	0.1
SB10	KP0117_AC_SB10	1752	114.3670011	0.115536356	0.515978403	2.153573747	0.054821094	0.1
SB10	KP0119_AC_SB10	6340	19.7509793	0.010492885	0.376553007	1.463763364	0.128527709	0.1
SB10	KP0121_AC_SB10	701	31.25911104	0	0.587512467	1.352896626	0.038867015	0.1
SB10	KP0122_AC_SB10	1498	53.47740562	0.140879835	0.502396437	2.18338456	0.050857853	0.1
SB10	KP0123_AC_SB10	10085	35.41937052	0	0.769343354	2.344395389	0.1224403	0.1
SB10	KP0125_AC_SB10	609	96.33013569	0	0.553450867	2.367186411	0.030057316	0.1
SB10	KP0127_AC_SB10	5552	47.70497656	0	0.772078555	1.932941592	0.105998217	0.1
SB10	KP0129_AC_SB10	1656	45.68648951	0	0.755532297	1.70207786	0.047252083	0.1
SB05	KP0130_AC_SB05	468	44.92635845	0.393398184	0.462967091	1.836318796	0.027113179	0.1
SB05	KP0132_HU_SB05	404	50.13035135	0.00239846	0.615501354	1.963811649	0.029241196	0.1
SB05	KP0134_HU_SB05	108	40.8185042	0.170132807	0.42178988	1.337020104	0.021112689	0.1
SB05	KP0135_HU_SB05	680	39.82183558	0.001713371	0.785051568	1.397822128	0.034287233	0.1
SB05	KP0137_HU_SB05	249	114.4819202	0.132107535	0.507518928	1.65488291	0.022478684	0.1
SB05	KP0139_HU_SB05	106	121.1281931	0.049736414	0.460653717	1.431481049	0.013775104	0.1
