sample_name	cloud_points	"plane_i,"	plane_j	plane_k	axis_i1	axis_j1	axis_k1	axis_i2	axis_j2	axis_k2	elevation chosen_R	orientation	rotation decision	rotation decision 2	
KP0287_LM_WP20	6988	-0.274214817	0.888673321	-0.367513215	-0.888673321	-0.274214817	0	0.888673321	0.274214817	0	111.5623323	1	1	1	
KP0294_AC_WP20	1632	-0.538640992	0.818169121	0.201159566	-0.818169121	-0.538640992	0	0.818169121	0.538640992	0	78.39522452	2		2	
KP0302_AC_WP20	307	0.304676746	0.657554424	0.689053162	-0.657554424	0.304676746	0	0.657554424	-0.304676746	0	46.44479489	2	2	2	
KP0306_LM_WP20	2433	0.378518551	0.276771313	0.883244783	-0.276771313	0.378518551	0	0.276771313	-0.378518551	0	27.96370833	2	2	2	
KP0350_LM_WP20	76024	0.328601564	0.483559087	0.811290097	-0.483559087	0.328601564	0	0.483559087	-0.328601564	0	35.77783041	2	2	2	
KP0387_AC_WP20	18	-0.205750091	-0.204549675	0.956988156	0.204549675	-0.205750091	0	-0.204549675	0.205750091	0	16.8655588	2	2	2	
KP0477_AC_WP20	5444	0.274442026	0.954631729	0.115584756	-0.954631729	0.274442026	0	0.954631729	-0.274442026	0	83.36264598	1 or 2	2	2	
KP0479_AC_WP20	10053	0.746601327	0.577585786	0.330122884	-0.577585786	0.746601327	0	0.577585786	-0.746601327	0	70.72376577	2	2	2	
KP0490_AC_WP20	718	0.833885392	-0.536578209	-0.129301892	0.536578209	0.833885392	0	-0.536578209	-0.833885392	0	97.42925321	?	1	1	double check
KP0518_LM_WP20	707	0.445587093	0.637642657	0.628382037	-0.637642657	0.445587093	0	0.637642657	-0.445587093	0	51.06914719	2	?	2	
KP0554_AC_WP20	7310	0.132872091	0.949337277	0.284787187	-0.949337277	0.132872091	0	0.949337277	-0.132872091	0	73.45387184	1	2	1 or 3 :o	
KP0558_LM_WP20	17638	0.491417385	0.208778033	0.845529826	-0.208778033	0.491417385	0	0.208778033	-0.491417385	0	32.2712531	?		2	
KP0571_AC_WP20	578	0.872539809	-0.285467218	0.396462798	0.285467218	0.872539809	0	-0.285467218	-0.872539809	0	66.64276372	2		2	
KP0573_LM_WP20	59	0.417180503	0.835465732	-0.357711391	-0.835465732	0.417180503	0	0.835465732	-0.417180503	0	110.959711	?		1	
KP0583_LM_WP20	6161	-0.388725158	0.918168644	0.076544714	-0.918168644	-0.388725158	0	0.918168644	0.388725158	0	85.61001691	2		2	
KP0588_LM_WP20	12238	0.040715795	0.77972867	-0.624792305	-0.77972867	0.040715795	0	0.77972867	-0.040715795	0	128.6669448	?		1	
